,pconv,score,value_per_conv,true_conv_rate,budget
44736,0.015645146,8.676193,554.5613442604157,0.0016600595140415072,1000.0
44806,1.0108201e-05,0.081855305,8097.9096735839175,0.00011666282810033447,1000.0
44867,0.008002192,8.909774,1113.4165811325158,0.0007609033089721649,1000.0
44923,0.000385315,1.1513922,2988.184420936965,0.00038934420115818713,1000.0
45363,0.047726486,10.791001,226.10089889615296,0.004008599651786829,1000.0
45432,0.019624751,5.2020783,265.07743761871785,0.0041931156856325055,1000.0
45457,0.0009029636,0.44423762,491.97731486304735,0.001991442636191973,1000.0
45459,0.11759704,3.4010623,28.921323150199164,0.028994399063502912,1000.0
45460,0.08573402,7.779553,90.74056484003121,0.010825483813828841,1000.0
45461,0.021430098,1.9283646,89.98394165011683,0.010250525068647773,1000.0
45482,0.014187677,0.51635844,36.39485550718855,0.023923961258857426,1000.0
45488,0.0280404,23.184023,826.8078453797738,0.0013345396008273976,1000.0
45783,4.362698e-05,0.45507768,10431.106757594276,9.326308689169305e-05,1000.0
46536,0.0029675555,5.1546483,1737.0014938753668,0.0005950709836518195,1000.0
46729,0.0026119826,2.7969737,1070.8239652957245,0.000778631927821764,1000.0
46975,0.0024501442,0.5864122,239.33785026832788,0.003412104139103758,1000.0
47009,0.00058992946,10.91315,18499.076214455647,5.037789315148986e-05,1000.0
47068,0.0026336885,0.119526975,45.38386940139832,0.018538771554439067,1000.0
47086,9.068921e-05,0.22893894,2524.4341982255964,0.00034393338040858065,1000.0
47118,0.0019261498,0.0074723912,3.879444391018608,0.266126886177399,1000.0
47120,0.044686966,1.0282806,23.01074998381137,0.04503834935070243,1000.0
47170,0.0019124965,3.966862,2074.179948317479,0.0005705501522452478,1000.0
47191,0.00055080926,0.90604156,1644.92796171412,0.0006766825762632178,1000.0
47193,0.00028727503,0.6304204,2194.483611442008,0.0004532562135115081,1000.0
47205,9.8775035e-06,0.10251224,10378.355563630945,0.00011322897686296507,1000.0
47242,0.00048510314,0.4936564,1017.6318447166725,0.0009722531439631271,1000.0
47245,3.0378102e-05,0.1833627,6036.015655382937,0.00015451046719955087,1000.0
47253,0.0005881321,0.24708585,420.11963232435005,0.0023221113917591017,1000.0
47259,0.00029700864,0.52819115,1778.36969297042,0.0006357040238295083,1000.0
47322,0.00031070915,0.3670607,1181.3642801228582,0.0007246703239668061,1000.0
47362,0.0003288892,0.14217938,432.3017548056823,0.0019510221438571202,1000.0
47381,0.0014696233,0.074415825,50.63598693961821,0.018020652280831863,1000.0
47386,0.0006833754,0.10170542,148.82803330669205,0.007329249883097833,1000.0
47451,0.0027807741,0.62136585,223.45066369441213,0.0037730761880186894,1000.0
47455,0.004485156,0.1480051,32.99887617613096,0.02703381750325254,1000.0
47462,0.00021416752,0.05228849,244.14762794151795,0.004185750221588819,1000.0
47465,0.010304909,0.037597787,3.6485315558005222,0.3102387576868887,1000.0
47548,0.00032779487,4.209544,12842.006887821302,7.217373150672176e-05,1000.0
47586,0.0018575046,1.2459651,670.7736462629138,0.001366134672048329,1000.0
47589,0.029652819,3.957331,133.45547777085994,0.006761700990471277,1000.0
47663,0.00018924911,0.7088165,3745.415356485711,0.00023117412746585735,1000.0
